strongs	source	gloss
H82	strongs_he	to soar
H83	bdb	pinions
H83	strongs_he	a pinion
H84	bdb	pinion
H84	strongs_he	feather, wing.
H85	bdb	exalted father; Abram; Abraham
H85	strongs_he	Abraham, the later name of Abram
H86	bdb	אַבְרֵךְ proclaimed before Joseph (mng. dub.)
H86	strongs_he	kneel
H87	bdb	exalted father; Abram; Abraham
H87	strongs_he	Abram, the original name of Abraham
H88	bdb	water-skins
H88	strongs_he	Oboth, a place in the Desert
H89	bdb	fugitive
H89	strongs_he	Age, an Israelite
H90	bdb	violent
H90	strongs_he	Agag, a title of Amalekitish kings
H91	bdb	אֲגָגִי adj.gent. of Haman (= Amalekite? so Jew. trad. & cf. Jos. Ant. xi.6.5)
H91	strongs_he	an Agagite or descendent (subject) of Agag
H92	bdb	band; bands, thongs; bunch; band; vault
H92	strongs_he	a band, bundle, knot, or arch
H93	bdb	nuts
H93	strongs_he	a nut
H94	bdb	hireling; gatherer
H94	strongs_he	Agur, a fanciful name for Solomon
H95	bdb	payment
H95	strongs_he	properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin
H96	bdb	drop
H96	strongs_he	a reservoir
H97	bdb	אֶגְלַ֫יִם n.pr.loc. town in Moab
H97	strongs_he	Eglajim, a place in Moab
H98	bdb	troubled pool; troubled, muddy, pools, marshes; pool, pond; swamp-reed, rush
H98	strongs_he	a marsh; hence a rush (as growing in swamps); hence a stockade of reeds
H99	bdb	sad
H99	strongs_he	figuratively, sad
H100	bdb	rush, bulrush
H100	strongs_he	a rush (as growing there); collectively a rope of rushes
H101	bdb	bowl, basin; basins
H101	strongs_he	a bowl (as pounded out hollow)
H102	bdb	band; army; wing
H102	strongs_he	(only plural) wings of an army, or crowds of troops
H103	bdb	gather
H103	strongs_he	to harvest
H104	bdb	letter-missive
H104	strongs_he	an epistle (as carried by a state courier or postman)
H105	bdb	basin; basket
H105	strongs_he	a basin
H106	bdb	fist
H106	strongs_he	the clenched hand
H107	bdb	letter; letter-missive
H107	strongs_he	an epistle
H108	bdb	mist
H108	strongs_he	a fog
H109	bdb	grieve; to cause to grieve
H109	strongs_he	to languish
H110	bdb	אַדְבְּאֵל n.pr.m. 3rd son of Ishmael
H110	strongs_he	Adbeel, a son of Ishmael
H111	bdb	Hadad
H111	strongs_he	Adad (or Hadad), an Edomite
H112	bdb	אִדּוֹ n.pr.m. a chief Israelite Ezr 8:17, 17.
H112	strongs_he	Iddo, an Israelite
H113	bdb	lord
H113	strongs_he	sovereign, i.e. controller (human or divine)
H114	bdb	אַדּוֹן id. [a.be.ad] Ne 7:61.
H114	strongs_he	Addon, apparently an Israelite
H115	bdb	two hills
H115	strongs_he	Adorajim, a place in Palestine
H116	bdb	then; thereupon
H116	strongs_he	then (of time)
H117	bdb	majestic
H117	strongs_he	wide or (generally) large; figuratively, powerful
H118	bdb	אֲדַלְיָא n.pr.m. 5th son of Haman Est 9:8 (Pers.?).
H118	strongs_he	Adalja, a son of Haman
H119	bdb	be red; ruddy; reddened, dyed red; redden, grow, look red; emit, show, redness
H119	strongs_he	to show blood (in the face), i.e. flush or turn rosy
H120	bdb	man, mankind; a man; man, mankind; Adam; built
H120	strongs_he	ruddy i.e. a human being (an individual or the species, mankind, etc.)
H121	bdb	man, mankind; a man; man, mankind; Adam; built
H121	strongs_he	Adam the name of the first man, also of a place in Palestine
H122	bdb	אֱדֹם n.[m.] name of a condiment.; red
H122	strongs_he	rosy
H123	bdb	Edom; Edomites, Idumeans; land of Edom, Idumaea
H123	strongs_he	Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him
H124	bdb	carnelian; redness
H124	strongs_he	redness, i.e. the ruby, garnet, or some other red gem
H125	bdb	reddish
H125	strongs_he	reddish
H126	bdb	אַדְמָה n.pr.loc. city in Vale of Siddim
H126	strongs_he	Admah, a place near the Dead Sea
H127	bdb	ground, land, tilled; ground; piece of ground; earth; ground; land, territory, country; earth
H127	strongs_he	soil (from its general redness)
H128	bdb	ground, land, tilled; ground; piece of ground; earth; ground; land, territory, country; earth
H128	strongs_he	Adamah, a place in Palestine
H129	bdb	אֲדָמִי הַנֶּ֫קֶב n.pr.loc. pass in Naphtali, Jos 19:33 v. נקב.
H129	strongs_he	Adami, a place in Palestine
H130	bdb	Edomite
H130	strongs_he	an Edomite, or descendants from (or inhabitants of) Edom
H131	bdb	ascent; ascent, Scorpion-pass
H131	strongs_he	Adummim, a pass in Palestine
H132	bdb	red; ruddy
H132	strongs_he	reddish (of the hair or the complexion)
H133	bdb	unrestrained
H133	strongs_he	Admatha, a Persian nobleman
H134	bdb	base, pedestal; pedestals; pedestals; pedestals, bases, sockets
